고객상세,1001,2021-01-04 15:00:00,남,19840506
이체거래내역,333313,4,2021-01-08 15:01:50,수취인38
거래내역,333313,4,2021-01-08 15:01:50,TRN,46818
이체거래내역,333324,2,2021-01-08 15:01:51,수취인39
거래내역,333324,2,2021-01-08 15:01:51,TRN,45528
자동이체거래내역,333303,11,2021-01-08 15:01:52,일
거래내역,333303,11,2021-01-08 15:01:52,AUT,54834
거래내역,333315,1,2021-01-08 15:01:53,AUT,27683
자동이체거래내역,333315,1,2021-01-08 15:01:53,일
거래내역,333319,5,2021-01-08 15:01:54,AUT,25490
자동이체거래내역,333319,5,2021-01-08 15:01:54,일
자동이체거래내역,333314,4,2021-01-08 15:01:55,주
거래내역,333314,4,2021-01-08 15:01:55,AUT,16178
거래내역,333310,10,2021-01-08 15:01:56,ATM,49219
ATM거래내역,333310,10,2021-01-08 15:01:56,ATM05
거래내역,333329,1,2021-01-08 15:01:57,AUT,7299
자동이체거래내역,333329,1,2021-01-08 15:01:57,월
이체거래내역,333302,3,2021-01-08 15:01:58,수취인40
거래내역,333302,3,2021-01-08 15:01:58,TRN,31767
자동이체거래내역,333309,4,2021-01-08 15:01:59,주
거래내역,333309,4,2021-01-08 15:01:59,AUT,55153
ATM거래내역,333302,4,2021-01-08 15:02:00,ATM03
거래내역,333302,4,2021-01-08 15:02:00,ATM,26121
거래내역,333322,6,2021-01-08 15:02:01,ATM,38111
ATM거래내역,333322,6,2021-01-08 15:02:01,ATM08
거래내역,333306,5,2021-01-08 15:02:02,TRN,60478
이체거래내역,333306,5,2021-01-08 15:02:02,수취인41
거래내역,333313,5,2021-01-08 15:02:03,TRN,15413
이체거래내역,333313,5,2021-01-08 15:02:03,수취인42
거래내역,333325,5,2021-01-08 15:02:04,ATM,33065
ATM거래내역,333325,5,2021-01-08 15:02:04,ATM09
거래내역,333302,5,2021-01-08 15:02:05,AUT,1713
자동이체거래내역,333302,5,2021-01-08 15:02:05,주
거래내역,333302,6,2021-01-09 15:02:06,TRN,88720
이체거래내역,333302,6,2021-01-09 15:02:06,수취인43
거래내역,333303,12,2021-01-09 15:02:07,AUT,70288
자동이체거래내역,333303,12,2021-01-09 15:02:07,일
거래내역,333328,3,2021-01-09 15:02:08,TRN,69077
이체거래내역,333328,3,2021-01-09 15:02:08,수취인44
ATM거래내역,333321,3,2021-01-09 15:02:09,ATM05
거래내역,333321,3,2021-01-09 15:02:09,ATM,75050
거래내역,333302,7,2021-01-09 15:02:10,TRN,17294
이체거래내역,333302,7,2021-01-09 15:02:10,수취인45
거래내역,333303,13,2021-01-09 15:02:11,TRN,43874
이체거래내역,333303,13,2021-01-09 15:02:11,수취인46
거래내역,333330,5,2021-01-09 15:02:12,TRN,44251
이체거래내역,333330,5,2021-01-09 15:02:12,수취인47
거래내역,333308,7,2021-01-09 15:02:13,AUT,85314
자동이체거래내역,333308,7,2021-01-09 15:02:13,월
거래내역,333317,3,2021-01-09 15:02:14,ATM,21095
ATM거래내역,333317,3,2021-01-09 15:02:14,ATM07
자동이체거래내역,333307,7,2021-01-09 15:02:15,월
거래내역,333307,7,2021-01-09 15:02:15,AUT,94565
거래내역,333326,3,2021-01-09 15:02:16,AUT,43118
자동이체거래내역,333326,3,2021-01-09 15:02:16,일
자동이체거래내역,333302,8,2021-01-09 15:02:17,월
거래내역,333302,8,2021-01-09 15:02:17,AUT,77383
거래내역,333327,4,2021-01-09 15:02:18,AUT,23071
자동이체거래내역,333327,4,2021-01-09 15:02:18,일
ATM거래내역,333322,7,2021-01-09 15:02:19,ATM03
거래내역,333322,7,2021-01-09 15:02:19,ATM,352
거래내역,333312,2,2021-01-09 15:02:20,ATM,73857
ATM거래내역,333312,2,2021-01-09 15:02:20,ATM06
거래내역,333319,6,2021-01-09 15:02:21,ATM,47755
ATM거래내역,333319,6,2021-01-09 15:02:21,ATM08
ATM거래내역,333318,6,2021-01-09 15:02:22,ATM05
거래내역,333318,6,2021-01-09 15:02:22,ATM,57626
ATM거래내역,333311,5,2021-01-09 15:02:23,ATM01
거래내역,333311,5,2021-01-09 15:02:23,ATM,27794
거래내역,333301,4,2021-01-09 15:02:24,AUT,31968
자동이체거래내역,333301,4,2021-01-09 15:02:24,일
자동이체거래내역,333301,5,2021-01-09 15:02:25,주
거래내역,333301,5,2021-01-09 15:02:25,AUT,40016
거래내역,333309,5,2021-01-09 15:02:26,TRN,56253
이체거래내역,333309,5,2021-01-09 15:02:26,수취인48
거래내역,333304,7,2021-01-09 15:02:27,TRN,40529
이체거래내역,333304,7,2021-01-09 15:02:27,수취인49
거래내역,333320,5,2021-01-09 15:02:28,AUT,19259
자동이체거래내역,333320,5,2021-01-09 15:02:28,일
자동이체거래내역,333323,4,2021-01-09 15:02:29,일
거래내역,333323,4,2021-01-09 15:02:29,AUT,28668
자동이체거래내역,333329,2,2021-01-09 15:02:30,월
거래내역,333329,2,2021-01-09 15:02:30,AUT,70697
ATM거래내역,333329,3,2021-01-09 15:02:31,ATM09
거래내역,333329,3,2021-01-09 15:02:31,ATM,17713
ATM거래내역,333316,7,2021-01-09 15:02:32,ATM10
거래내역,333316,7,2021-01-09 15:02:32,ATM,36802
자동이체거래내역,333326,4,2021-01-09 15:02:33,월
거래내역,333326,4,2021-01-09 15:02:33,AUT,40446
거래내역,333311,6,2021-01-09 15:02:34,ATM,47088
ATM거래내역,333311,6,2021-01-09 15:02:34,ATM01
ATM거래내역,333318,7,2021-01-09 15:02:35,ATM10
거래내역,333318,7,2021-01-09 15:02:35,ATM,7979
거래내역,333321,4,2021-01-09 15:02:36,TRN,13984
이체거래내역,333321,4,2021-01-09 15:02:36,수취인50
자동이체거래내역,333328,4,2021-01-09 15:02:37,주
거래내역,333328,4,2021-01-09 15:02:37,AUT,75303
거래내역,333310,11,2021-01-09 15:02:38,TRN,78251
이체거래내역,333310,11,2021-01-09 15:02:38,수취인51
거래내역,333305,4,2021-01-09 15:02:39,AUT,40273
자동이체거래내역,333305,4,2021-01-09 15:02:39,주
거래내역,333327,5,2021-01-09 15:02:40,TRN,44864
이체거래내역,333327,5,2021-01-09 15:02:40,수취인52
자동이체거래내역,333304,8,2021-01-09 15:02:41,월
거래내역,333304,8,2021-01-09 15:02:41,AUT,92801
거래내역,333310,12,2021-01-09 15:02:42,ATM,90811
ATM거래내역,333310,12,2021-01-09 15:02:42,ATM08
자동이체거래내역,333314,5,2021-01-09 15:02:43,일
거래내역,333314,5,2021-01-09 15:02:43,AUT,49389
거래내역,333323,5,2021-01-09 15:02:44,TRN,77752
이체거래내역,333323,5,2021-01-09 15:02:44,수취인53
거래내역,333323,6,2021-01-09 15:02:45,TRN,23925
이체거래내역,333323,6,2021-01-09 15:02:45,수취인54
거래내역,333315,2,2021-01-09 15:02:46,TRN,68716
이체거래내역,333315,2,2021-01-09 15:02:46,수취인55
이체거래내역,333309,6,2021-01-09 15:02:47,수취인56
거래내역,333309,6,2021-01-09 15:02:47,TRN,51050
거래내역,333316,8,2021-01-09 15:02:48,ATM,44246
ATM거래내역,333316,8,2021-01-09 15:02:48,ATM03
ATM거래내역,333307,8,2021-01-09 15:02:49,ATM08
거래내역,333307,8,2021-01-09 15:02:49,ATM,53176
거래내역,333313,6,2021-01-09 15:02:50,TRN,75443
이체거래내역,333313,6,2021-01-09 15:02:50,수취인57
ATM거래내역,333328,5,2021-01-09 15:02:51,ATM09
거래내역,333328,5,2021-01-09 15:02:51,ATM,19060
ATM거래내역,333301,6,2021-01-09 15:02:52,ATM10
거래내역,333301,6,2021-01-09 15:02:52,ATM,19935
거래내역,333306,6,2021-01-09 15:02:53,TRN,91298
이체거래내역,333306,6,2021-01-09 15:02:53,수취인58
자동이체거래내역,333301,7,2021-01-09 15:02:54,주
거래내역,333301,7,2021-01-09 15:02:54,AUT,13432
자동이체거래내역,333318,8,2021-01-09 15:02:55,월
거래내역,333318,8,2021-01-09 15:02:55,AUT,75364
거래내역,333324,3,2021-01-09 15:02:56,ATM,80558
ATM거래내역,333324,3,2021-01-09 15:02:56,ATM01
이체거래내역,333312,3,2021-01-10 15:02:57,수취인59
거래내역,333312,3,2021-01-10 15:02:57,TRN,25102
자동이체거래내역,333302,9,2021-01-10 15:02:58,일
거래내역,333302,9,2021-01-10 15:02:58,AUT,51188
거래내역,333321,5,2021-01-10 15:02:59,AUT,2775
자동이체거래내역,333321,5,2021-01-10 15:02:59,주
이체거래내역,333325,6,2021-01-10 15:03:00,수취인60
거래내역,333325,6,2021-01-10 15:03:00,TRN,54600
거래내역,333319,7,2021-01-10 15:03:01,TRN,87593
이체거래내역,333319,7,2021-01-10 15:03:01,수취인61
거래내역,333322,8,2021-01-10 15:03:02,ATM,55996
ATM거래내역,333322,8,2021-01-10 15:03:02,ATM01
이체거래내역,333321,6,2021-01-10 15:03:03,수취인62
거래내역,333321,6,2021-01-10 15:03:03,TRN,29668
이체거래내역,333316,9,2021-01-10 15:03:04,수취인63
거래내역,333316,9,2021-01-10 15:03:04,TRN,76163
거래내역,333329,4,2021-01-10 15:03:05,TRN,38968
이체거래내역,333329,4,2021-01-10 15:03:05,수취인64
거래내역,333310,13,2021-01-10 15:03:06,ATM,93356
ATM거래내역,333310,13,2021-01-10 15:03:06,ATM10
거래내역,333315,3,2021-01-10 15:03:07,TRN,16123
이체거래내역,333315,3,2021-01-10 15:03:07,수취인65
거래내역,333326,5,2021-01-10 15:03:08,ATM,10372
ATM거래내역,333326,5,2021-01-10 15:03:08,ATM09
ATM거래내역,333310,14,2021-01-10 15:03:09,ATM03
거래내역,333310,14,2021-01-10 15:03:09,ATM,87036
거래내역,333309,7,2021-01-10 15:03:10,ATM,93003
ATM거래내역,333309,7,2021-01-10 15:03:10,ATM07
거래내역,333309,8,2021-01-10 15:03:11,AUT,91810
자동이체거래내역,333309,8,2021-01-10 15:03:11,주
거래내역,333328,6,2021-01-10 15:03:12,AUT,57706
자동이체거래내역,333328,6,2021-01-10 15:03:12,월
거래내역,333310,15,2021-01-10 15:03:13,AUT,4231
자동이체거래내역,333310,15,2021-01-10 15:03:13,월
이체거래내역,333304,9,2021-01-10 15:03:14,수취인66
거래내역,333304,9,2021-01-10 15:03:14,TRN,35777
거래내역,333308,8,2021-01-10 15:03:15,ATM,57325
ATM거래내역,333308,8,2021-01-10 15:03:15,ATM05
ATM거래내역,333322,9,2021-01-10 15:03:16,ATM02
거래내역,333322,9,2021-01-10 15:03:16,ATM,43297
거래내역,333326,6,2021-01-10 15:03:17,ATM,17630
ATM거래내역,333326,6,2021-01-10 15:03:17,ATM03
ATM거래내역,333316,10,2021-01-10 15:03:18,ATM10
거래내역,333316,10,2021-01-10 15:03:18,ATM,85625
